Motor_Raw,MT6_Raw,Motor_Accum,MT6_Accum,Output_Accum,Progress_Perc
206.631,10.415,0.000,0.000,0.000,0.0
206.455,10.415,-0.176,0.000,0.000,0.0
202.148,10.305,-4.482,-0.110,-0.033,0.0
196.963,9.229,-9.668,-1.187,-0.355,0.0
192.129,8.108,-14.502,-2.307,-0.689,0.0
188.174,7.185,-18.457,-3.230,-0.965,0.0
184.482,6.306,-22.148,-4.109,-1.228,0.0
181.055,5.405,-25.576,-5.010,-1.497,0.0
177.715,4.570,-28.916,-5.845,-1.747,0.0
174.287,3.823,-32.344,-6.592,-1.970,0.0
170.947,3.098,-35.684,-7.317,-2.187,0.0
167.607,2.263,-39.023,-8.152,-2.436,0.0
164.180,1.406,-42.451,-9.009,-2.692,0.0
160.664,0.637,-45.967,-9.778,-2.922,0.0
157.324,359.890,-49.307,-10.525,-3.145,0.0
153.896,359.033,-52.734,-11.382,-3.401,0.0
150.381,358.242,-56.250,-12.173,-3.638,0.0
146.953,357.495,-59.678,-12.920,-3.861,0.0
143.525,356.726,-63.105,-13.689,-4.091,0.0
140.010,356.001,-66.621,-14.414,-4.308,0.0
136.758,355.254,-69.873,-15.161,-4.531,0.0
133.242,354.507,-73.389,-15.908,-4.754,0.1
129.902,353.870,-76.729,-16.545,-4.945,0.1
126.650,353.342,-79.980,-17.073,-5.102,0.1
123.223,352.837,-83.408,-17.578,-5.253,0.1
119.971,352.419,-86.660,-17.996,-5.378,0.1
116.631,352.002,-90.000,-18.413,-5.503,0.1
113.203,351.277,-93.428,-19.138,-5.719,0.1
109.951,350.684,-96.680,-19.731,-5.897,0.1
106.611,349.958,-100.020,-20.457,-6.113,0.1
103.271,349.299,-103.359,-21.116,-6.310,0.1
99.932,348.596,-106.699,-21.819,-6.521,0.1
96.592,347.871,-110.039,-22.544,-6.737,0.1
93.340,347.168,-113.291,-23.247,-6.947,0.1
90.000,346.333,-116.631,-24.082,-7.197,0.1
86.660,345.564,-119.971,-24.851,-7.427,0.1
